x	y	z	Phi	Fx	Fy	Fz	Rho
0	0	703.30814	-0.0019676612	0	0	2.79772e-06	2.8988395e-20
0	0	790.85553	-0.0017498421	0	0	2.2125921e-06	1.345319e-20
0	0	889.30064	-0.0015561356	0	0	1.7498409e-06	6.2435594e-21
0	0	1000	-0.0013838725	0	0	1.3838718e-06	2.897555e-21

0.0007	0.0007	0	-3.7948996	2.4178636	3.6991805	0	1116.1494
0.0014871346	0.0014871346	0	-3.790089	2.4132455	3.691602	0	523.66101
0.0023722501	0.0023722501	0	-3.7846916	2.4081544	3.6832649	0	327.30395
0.0033675431	0.0033675431	0	-3.7786362	2.4025678	3.6740286	0	229.74768
0.0044867281	0.0044867281	0	-3.7718448	2.3961725	3.6635494	0	171.75967
0.005745227	0.005745227	0	-3.7642305	2.3890563	3.6518674	0	133.54312
0.0071603813	0.0071603813	0	-3.7556965	2.3811171	3.6388238	0	106.62112
0.0087516912	0.0087516912	0	-3.7461356	2.37223	3.6242349	0	86.747621
0.010541084	0.010541084	0	-3.7354291	2.3622955	3.6079366	0	71.575252
0.012553217	0.012553217	0	-3.7234456	2.351226	3.5897712	0	59.682851
0.014815816	0.014815816	0	-3.7100406	2.3388491	3.5694899	0	50.173485
0.01736006	0.01736006	0	-3.6950545	2.325106	3.5469516	0	42.446746
0.020221005	0.020221005	0	-3.6783128	2.3097885	3.5218602	0	36.08302
0.023438075	0.023438075	0	-3.6596244	2.2927498	3.4939754	0	30.791424
0.0270556	0.0270556	0	-3.638781	2.2738959	3.4631042	0	26.348743
0.031123426	0.031123426	0	-3.6155563	2.2529391	3.4288557	0	22.590141
0.035697608	0.035697608	0	-3.5897068	2.229775	3.3910188	0	19.398242
0.040841175	0.040841175	0	-3.5609692	2.2042788	3.3493602	0	16.667951
0.046625002	0.046625002	0	-3.5290629	2.1760927	3.3034137	0	14.322215
0.053128789	0.053128789	0	-3.4936914	2.1451267	3.2529828	0	12.307292
0.060442154	0.060442154	0	-3.4545398	2.111276	3.1978595	0	10.565833
0.068665872	0.068665872	0	-3.4112816	2.0741116	3.1375202	0	9.0570923
0.077913262	0.077913262	0	-3.3635821	2.0335927	3.0718421	0	7.7560524
0.088311749	0.088311749	0	-3.311093	1.9898967	3.0009418	0	6.6274532
0.10000462	0.10000462	0	-3.2534652	1.9425473	2.9243053	0	5.6465388
0.11315299	0.11315299	0	-3.1903611	1.8913152	2.8416921	0	4.7983731
0.12793805	0.12793805	0	-3.1214501	1.8364912	2.7533986	0	4.0635799
0.14456352	0.14456352	0	-3.0464256	1.7775886	2.6589714	0	3.425901
0.1632585	0.1632585	0	-2.965032	1.714421	2.5583002	0	2.8798115
0.18428059	0.18428059	0	-2.877023	1.6490528	2.4536132	0	2.4157546
0.20791947	0.20791947	0	-2.7821511	1.5813713	2.3450528	0	2.0148238
0.23450087	0.23450087	0	-2.6802503	1.5107041	2.2322445	0	1.6683257
0.26439106	0.26439106	0	-2.571279	1.4361135	2.1145114	0	1.3684684
0.29800193	0.29800193	0	-2.4553797	1.3568731	1.9912424	0	1.1125151
0.33579661	0.33579661	0	-2.3329114	1.2727019	1.8623072	0	0.89681577
0.3782959	0.3782959	0	-2.2043471	1.1890589	1.7334705	0	0.74204692
0.42608542	0.42608542	0	-2.0694492	1.1150742	1.6147571	0	0.61641288
0.47982368	0.47982368	0	-1.9276451	1.0485758	1.5049788	0	0.50664978
0.54025117	0.54025117	0	-1.7785513	0.98242848	1.397584	0	0.38546621
0.60820055	0.60820055	0	-1.6242276	0.8931156	1.2655208	0	0.26388428
0.68460813	0.68460813	0	-1.4692004	0.78858265	1.111271	0	0.16982187
0.77052678	0.77052678	0	-1.3179887	0.68036529	0.94392516	0	0.1011946
0.86714041	0.86714041	0	-1.1745025	0.57754545	0.77611419	0	0.055560332
0.9757803	0.9757803	0	-1.0415947	0.48153669	0.62033717	0	0.026000448
1.0979435	1.0979435	0	-0.92133605	0.39227236	0.48382667	0	0.0086050811
1.2353133	1.2353133	0	-0.8148662	0.31292276	0.37224585	0	0.0032595559
1.3897826	1.3897826	0	-0.7212692	0.24860129	0.28725211	0	0.0016494145
1.5634799	1.5634799	0	-0.63887661	0.19734875	0.22269317	0	0.0010737926
1.7587988	1.7587988	0	-0.56612783	0.15689403	0.17345866	0	0.00067412889
1.9784305	1.9784305	0	-0.50177944	0.12455808	0.1352204	0	0.00030391701
2.2254016	2.2254016	0	-0.44489428	0.098722227	0.10547034	0	0.00012306153
2.5031151	2.5031151	0	-0.39461411	0.078158547	0.082354796	0	2.7715221e-05
2.8153979	2.8153979	0	-0.35017237	0.061797046	0.064389096	0	1.2805507e-05
3.166553	3.166553	0	-0.31086375	0.048853416	0.050457558	0	5.9212129e-06
3.5614191	3.5614191	0	-0.27605997	0.038618578	0.039612938	0	2.7396619e-06
4.0054374	4.0054374	0	-0.24521906	0.030527686	0.031144912	0	1.2682506e-06
4.5047263	4.5047263	0	-0.21787121	0.024132373	0.024515952	0	5.8734656e-07
5.0661655	5.0661655	0	-0.19360741	0.019077475	0.01931609	0	2.7210234e-07
5.6974917	5.6974917	0	-0.17207024	0.015082002	0.015230565	0	1.2609336e-07
6.407404	6.407404	0	-0.15294641	0.011923803	0.012016366	0	5.844574e-08
7.2056848	7.2056848	0	-0.13596053	0.009427305	0.0094850107	0	2.7095483e-08
8.103334	8.103334	0	-0.12087006	0.0074537691	0.0074897627	0	1.2563487e-08
9.1127207	9.1127207	0	-0.10746097	0.0058935689	0.0059160294	0	5.8261447e-09
10.247754	10.247754	0	-0.095544099	0.0046600786	0.0046740993	0	2.7020952e-09
