# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
2.733 9.668e-27 1.12e-27 1.094e+47 2.715e+46 12.83 0.101
2.864 9.211e-27 1.053e-27 1.201e+47 2.932e+46 12.6 0.09564
3.003 8.775e-27 9.911e-28 1.318e+47 3.168e+46 12.36 0.0905
3.147 8.359e-27 9.334e-28 1.447e+47 3.425e+46 12.1 0.08557
3.299 7.962e-27 8.797e-28 1.588e+47 3.705e+46 11.82 0.08085
3.458 7.584e-27 8.296e-28 1.743e+47 4.01e+46 11.53 0.07633
3.625 7.223e-27 7.829e-28 1.913e+47 4.341e+46 11.23 0.07203
3.799 6.878e-27 7.393e-28 2.099e+47 4.703e+46 10.91 0.06793
3.983 6.55e-27 6.986e-28 2.304e+47 5.098e+46 10.58 0.06403
4.175 6.236e-27 6.605e-28 2.528e+47 5.529e+46 10.23 0.0603
4.376 5.937e-27 6.248e-28 2.774e+47 6.001e+46 9.872 0.05675
4.587 5.652e-27 5.914e-28 3.043e+47 6.516e+46 9.499 0.05337
4.808 5.38e-27 5.601e-28 3.339e+47 7.081e+46 9.113 0.05016
5.04 5.121e-27 5.307e-28 3.662e+47 7.701e+46 8.716 0.04708
5.282 4.873e-27 5.03e-28 4.017e+47 8.383e+46 8.308 0.04408
5.537 4.637e-27 4.77e-28 4.406e+47 9.134e+46 7.894 0.04113
5.804 4.412e-27 4.526e-28 4.833e+47 9.962e+46 7.473 0.03823
6.084 4.197e-27 4.295e-28 5.3e+47 1.088e+47 7.051 0.03537
6.377 3.992e-27 4.078e-28 5.811e+47 1.189e+47 6.628 0.03258
6.684 3.797e-27 3.873e-28 6.372e+47 1.301e+47 6.21 0.0299
7.007 3.611e-27 3.68e-28 6.986e+47 1.425e+47 5.799 0.02734
7.344 3.433e-27 3.497e-28 7.658e+47 1.563e+47 5.397 0.02491
7.698 3.263e-27 3.324e-28 8.394e+47 1.716e+47 5.005 0.02261
8.069 3.102e-27 3.161e-28 9.2e+47 1.885e+47 4.626 0.02046
8.458 2.948e-27 3.006e-28 1.008e+48 2.073e+47 4.259 0.01847
8.866 2.801e-27 2.859e-28 1.105e+48 2.28e+47 3.905 0.01667
9.293 2.661e-27 2.72e-28 1.21e+48 2.51e+47 3.563 0.01505
9.741 2.527e-27 2.589e-28 1.326e+48 2.764e+47 3.232 0.0136
10.21 2.4e-27 2.464e-28 1.452e+48 3.045e+47 2.91 0.0123
10.7 2.278e-27 2.345e-28 1.591e+48 3.355e+47 2.596 0.01113
11.22 2.162e-27 2.233e-28 1.742e+48 3.698e+47 2.29 0.01008
11.76 2.052e-27 2.126e-28 1.907e+48 4.076e+47 1.991 0.009142
12.33 1.947e-27 2.025e-28 2.087e+48 4.493e+47 1.695 0.008296
12.92 1.846e-27 1.928e-28 2.284e+48 4.953e+47 1.405 0.007531
13.54 1.751e-27 1.837e-28 2.5e+48 5.46e+47 1.118 0.006828
14.2 1.66e-27 1.749e-28 2.735e+48 6.019e+47 0.8349 0.006183
14.88 1.573e-27 1.667e-28 2.992e+48 6.636e+47 0.5544 0.005599
15.6 1.49e-27 1.588e-28 3.272e+48 7.315e+47 0.2763 0.005074
16.35 1.412e-27 1.513e-28 3.577e+48 8.063e+47 -0.0001901 0.004602
